Row,Column,Value,Color
43,2,Article Not Clicked,0
43,3,Article Not Clicked,0
43,4,Article Not Clicked,0
43,5,Article Not Clicked,0
44,1,Article Not Clicked,0
44,2,Article Not Clicked,0
44,3,Article Not Clicked,0
44,4,Article Not Clicked,0
44,5,Article Not Clicked,0
45,1,Article Not Clicked,0
45,2,Article Not Clicked,0
45,3,Article Not Clicked,0
45,4,Article Not Clicked,0
45,5,Article Not Clicked,0
46,1,Article Not Clicked,0
46,2,Article Not Clicked,0
46,3,Article Not Clicked,0
46,4,Article Not Clicked,0
46,5,Article Not Clicked,0
47,1,Article Not Clicked,0
47,2,Article Not Clicked,0
47,3,Article Not Clicked,0
47,4,Article Not Clicked,0
47,5,Article Not Clicked,0
48,1,Article Not Clicked,0
48,2,Article Not Clicked,0
48,3,Article Not Clicked,0
48,4,Article Not Clicked,0
48,5,Article Not Clicked,0
49,1,Article Not Clicked,0
49,2,Article Not Clicked,0
49,3,Article Not Clicked,0
49,4,Article Not Clicked,0
49,5,Article Not Clicked,0
50,1,Article Not Clicked,0
50,2,Article Not Clicked,0
50,3,Article Not Clicked,0
50,4,Article Not Clicked,0
50,5,Article Not Clicked,0
51,1,Article Not Clicked,0
51,2,Article Not Clicked,0
51,3,Article Not Clicked,0
51,4,Article Not Clicked,0
51,5,Article Not Clicked,0
52,1,Article Not Clicked,0
52,2,Article Not Clicked,0
52,3,Article Not Clicked,0
52,4,Article Not Clicked,0
52,5,Article Not Clicked,0
53,1,Article Not Clicked,0
53,2,Article Not Clicked,0
53,3,A Monolith Appears in Turkey,1
53,4,Article Not Clicked,0
53,5,Article Not Clicked,0
54,1,Article Not Clicked,0
54,2,Article Not Clicked,0
54,3,Article Not Clicked,0
54,4,Article Not Clicked,0
54,5,Article Not Clicked,0
55,1,Article Not Clicked,0
55,2,Article Not Clicked,0
55,3,Article Not Clicked,0
55,4,Article Not Clicked,0
55,5,Article Not Clicked,0
56,1,Article Not Clicked,0
56,2,Article Not Clicked,0
56,3,Article Not Clicked,0
56,4,Article Not Clicked,0
56,5,Article Not Clicked,0
57,1,Article Not Clicked,0
57,2,Article Not Clicked,0
57,3,Article Not Clicked,0
57,4,Article Not Clicked,0
57,5,Article Not Clicked,0
58,1,Article Not Clicked,0
58,2,Article Not Clicked,0
58,3,Article Not Clicked,0
58,4,Article Not Clicked,0
58,5,Article Not Clicked,0
59,1,Article Not Clicked,0
59,2,Article Not Clicked,0
59,3,Article Not Clicked,0
59,4,Article Not Clicked,0
59,5,Article Not Clicked,0
60,1,Article Not Clicked,0
60,2,Article Not Clicked,0
60,3,Article Not Clicked,0
60,4,Article Not Clicked,0
60,5,Article Not Clicked,0
61,1,Article Not Clicked,0
61,2,Article Not Clicked,0
61,3,Article Not Clicked,0
61,4,Article Not Clicked,0
61,5,Article Not Clicked,0
62,1,Article Not Clicked,0
62,2,Article Not Clicked,0
62,3,Article Not Clicked,0
62,4,Article Not Clicked,0
62,5,Article Not Clicked,0
63,1,Article Not Clicked,0
63,2,Article Not Clicked,0
63,3,Article Not Clicked,0
63,4,Article Not Clicked,0
63,5,Article Not Clicked,0
64,1,Article Not Clicked,0
64,2,Article Not Clicked,0
64,3,Article Not Clicked,0
64,4,Article Not Clicked,0
64,5,Article Not Clicked,0
65,1,Article Not Clicked,0
65,2,Article Not Clicked,0
65,3,Article Not Clicked,0
65,4,Article Not Clicked,0
65,5,Article Not Clicked,0
66,1,Article Not Clicked,0
66,2,Article Not Clicked,0
66,3,Article Not Clicked,0
66,4,Article Not Clicked,0
66,5,Article Not Clicked,0
67,1,Article Not Clicked,0
67,2,Article Not Clicked,0
67,3,Article Not Clicked,0
67,4,Article Not Clicked,0
67,5,Where Did Covid Come From? Investigator Foreshadows Fresh Clues,1
68,1,Article Not Clicked,0
68,2,Article Not Clicked,0
68,3,Article Not Clicked,0
68,4,Article Not Clicked,0
68,5,Article Not Clicked,0
69,1,Article Not Clicked,0
69,2,Article Not Clicked,0
69,3,Article Not Clicked,0
69,4,Article Not Clicked,0
69,5,Article Not Clicked,0
70,1,Article Not Clicked,0
70,2,Article Not Clicked,0
70,3,Article Not Clicked,0
70,4,Article Not Clicked,0
70,5,Article Not Clicked,0
71,1,Article Not Clicked,0
71,2,Article Not Clicked,0
71,3,Article Not Clicked,0
71,4,Article Not Clicked,0
71,5,Article Not Clicked,0
72,1,Article Not Clicked,0
72,2,Article Not Clicked,0
72,3,Article Not Clicked,0
72,4,Article Not Clicked,0
72,5,Article Not Clicked,0
73,1,Article Not Clicked,0
73,2,Article Not Clicked,0
73,3,Article Not Clicked,0
73,4,Article Not Clicked,0
73,5,Article Not Clicked,0
74,1,Article Not Clicked,0
74,2,Article Not Clicked,0
74,3,Article Not Clicked,0
74,4,Article Not Clicked,0
74,5,Article Not Clicked,0
75,1,Article Not Clicked,0
75,2,Article Not Clicked,0
75,3,Article Not Clicked,0
75,4,Article Not Clicked,0
75,5,Article Not Clicked,0
76,1,Article Not Clicked,0
76,2,Article Not Clicked,0
76,3,Article Not Clicked,0
76,4,Article Not Clicked,0
76,5,Article Not Clicked,0
77,1,Article Not Clicked,0
77,2,Article Not Clicked,0
77,3,Article Not Clicked,0
77,4,Article Not Clicked,0
77,5,Article Not Clicked,0
78,1,Article Not Clicked,0
78,2,Article Not Clicked,0
78,3,Article Not Clicked,0
78,4,Article Not Clicked,0
78,5,Article Not Clicked,0
79,1,Article Not Clicked,0
79,2,Article Not Clicked,0
79,3,Article Not Clicked,0
79,4,Article Not Clicked,0
79,5,Article Not Clicked,0
80,1,Article Not Clicked,0
80,2,Article Not Clicked,0
80,3,Article Not Clicked,0
80,4,Article Not Clicked,0
80,5,Article Not Clicked,0
81,1,Article Not Clicked,0
81,2,Article Not Clicked,0
81,3,Article Not Clicked,0
81,4,Article Not Clicked,0
81,5,Article Not Clicked,0
82,1,Article Not Clicked,0
82,2,Article Not Clicked,0
82,3,Article Not Clicked,0
82,4,Article Not Clicked,0
82,5,Article Not Clicked,0
83,1,Article Not Clicked,0
83,2,Article Not Clicked,0
83,3,Article Not Clicked,0
83,4,Article Not Clicked,0
83,5,Article Not Clicked,0
84,1,Smartmatic Files $2.7 Billion Lawsuit Against Fox News,1
84,2,Article Not Clicked,0
84,3,Article Not Clicked,0
84,4,Article Not Clicked,0
84,5,Article Not Clicked,0
85,1,Article Not Clicked,0
85,2,Article Not Clicked,0
85,3,Article Not Clicked,0
85,4,Article Not Clicked,0
85,5,Article Not Clicked,0
86,1,Article Not Clicked,0
86,2,Article Not Clicked,0
86,3,Article Not Clicked,0
86,4,Article Not Clicked,0
86,5,Article Not Clicked,0
87,1,Article Not Clicked,0
87,2,Article Not Clicked,0
87,3,Article Not Clicked,0
87,4,Article Not Clicked,0
87,5,Article Not Clicked,0
88,1,Article Not Clicked,0
88,2,Article Not Clicked,0
88,3,Article Not Clicked,0
88,4,Article Not Clicked,0
88,5,Article Not Clicked,0
89,1,Article Not Clicked,0
89,2,Article Not Clicked,0
89,3,Article Not Clicked,0
89,4,Article Not Clicked,0
89,5,Article Not Clicked,0
90,1,Article Not Clicked,0
90,2,Article Not Clicked,0
90,3,Article Not Clicked,0
90,4,Article Not Clicked,0
90,5,Article Not Clicked,0
91,1,Article Not Clicked,0
91,2,Article Not Clicked,0
91,3,Article Not Clicked,0
91,4,Article Not Clicked,0
91,5,Article Not Clicked,0
92,1,Article Not Clicked,0
92,2,Article Not Clicked,0
92,3,Article Not Clicked,0
92,4,Article Not Clicked,0
92,5,Article Not Clicked,0
93,1,Article Not Clicked,0
93,2,Article Not Clicked,0
93,3,Article Not Clicked,0
93,4,Article Not Clicked,0
93,5,Article Not Clicked,0
94,1,Article Not Clicked,0
94,2,Article Not Clicked,0
94,3,Article Not Clicked,0
94,4,Article Not Clicked,0
94,5,Article Not Clicked,0
95,1,Article Not Clicked,0
95,2,Article Not Clicked,0
95,3,Article Not Clicked,0
95,4,Article Not Clicked,0
95,5,Article Not Clicked,0
96,1,Article Not Clicked,0
96,2,Article Not Clicked,0
96,3,Article Not Clicked,0
96,4,Article Not Clicked,0
96,5,Article Not Clicked,0
97,1,Article Not Clicked,0
97,2,Article Not Clicked,0
97,3,Article Not Clicked,0
97,4,Article Not Clicked,0
97,5,Article Not Clicked,0
98,1,Article Not Clicked,0
98,2,Article Not Clicked,0
98,3,Article Not Clicked,0
98,4,Article Not Clicked,0
98,5,Article Not Clicked,0
99,1,Article Not Clicked,0
99,2,Article Not Clicked,0
99,3,Article Not Clicked,0
99,4,Article Not Clicked,0
99,5,Article Not Clicked,0
100,1,Article Not Clicked,0
100,2,Article Not Clicked,0
100,3,Article Not Clicked,0
100,4,Article Not Clicked,0
100,5,Article Not Clicked,0
101,1,Article Not Clicked,0
101,2,Article Not Clicked,0
101,3,Article Not Clicked,0
101,4,Article Not Clicked,0
101,5,Article Not Clicked,0
102,1,Article Not Clicked,0
102,2,Article Not Clicked,0
102,3,Article Not Clicked,0
102,4,Article Not Clicked,0
102,5,Article Not Clicked,0
103,1,Article Not Clicked,0
103,2,Article Not Clicked,0
103,3,Article Not Clicked,0
103,4,Article Not Clicked,0
103,5,Article Not Clicked,0
104,1,Article Not Clicked,0
104,2,Article Not Clicked,0
104,3,Article Not Clicked,0
104,4,Article Not Clicked,0
104,5,Article Not Clicked,0
105,1,Article Not Clicked,0
105,2,Article Not Clicked,0
105,3,Article Not Clicked,0
105,4,Article Not Clicked,0
105,5,Article Not Clicked,0
106,1,Article Not Clicked,0
106,2,Article Not Clicked,0
106,3,Article Not Clicked,0
106,4,Article Not Clicked,0
106,5,Article Not Clicked,0
107,1,Article Not Clicked,0
107,2,Article Not Clicked,0
107,3,Article Not Clicked,0
107,4,Article Not Clicked,0
107,5,Article Not Clicked,0
108,1,Article Not Clicked,0
108,2,Article Not Clicked,0
108,3,Article Not Clicked,0
108,4,Article Not Clicked,0
108,5,Article Not Clicked,0
109,1,Article Not Clicked,0
109,2,Article Not Clicked,0
109,3,Article Not Clicked,0
109,4,Article Not Clicked,0
109,5,Article Not Clicked,0
110,1,Article Not Clicked,0
110,2,Article Not Clicked,0
110,3,Article Not Clicked,0
110,4,Article Not Clicked,0
110,5,Article Not Clicked,0
111,1,Article Not Clicked,0
111,2,Article Not Clicked,0
111,3,Article Not Clicked,0
111,4,Article Not Clicked,0
111,5,Article Not Clicked,0
112,1,Article Not Clicked,0
112,2,Article Not Clicked,0
112,3,Article Not Clicked,0
112,4,Article Not Clicked,0
112,5,Article Not Clicked,0
113,1,Article Not Clicked,0
113,2,Article Not Clicked,0
113,3,Article Not Clicked,0
113,4,Article Not Clicked,0
113,5,Article Not Clicked,0
114,1,Article Not Clicked,0
114,2,Article Not Clicked,0
114,3,Article Not Clicked,0
114,4,Article Not Clicked,0
114,5,Article Not Clicked,0
115,1,Article Not Clicked,0
115,2,Article Not Clicked,0
115,3,Article Not Clicked,0
115,4,Article Not Clicked,0
115,5,Article Not Clicked,0
116,1,Article Not Clicked,0
116,2,Article Not Clicked,0
116,3,Article Not Clicked,0
116,4,Article Not Clicked,0
116,5,Article Not Clicked,0
117,1,Article Not Clicked,0
117,2,Article Not Clicked,0
117,3,Article Not Clicked,0
117,4,Article Not Clicked,0
117,5,Article Not Clicked,0
118,1,Article Not Clicked,0
118,2,Article Not Clicked,0
118,3,Article Not Clicked,0
118,4,Article Not Clicked,0
118,5,Article Not Clicked,0
119,1,Article Not Clicked,0
119,2,Article Not Clicked,0
119,3,Article Not Clicked,0
119,4,Article Not Clicked,0
119,5,Article Not Clicked,0
120,1,Article Not Clicked,0
120,2,Article Not Clicked,0
120,3,Article Not Clicked,0
120,4,Article Not Clicked,0
120,5,Article Not Clicked,0
121,1,Article Not Clicked,0
121,2,Article Not Clicked,0
121,3,Article Not Clicked,0
121,4,Article Not Clicked,0
121,5,Article Not Clicked,0
122,1,Article Not Clicked,0
122,2,Article Not Clicked,0
122,3,Article Not Clicked,0
122,4,Article Not Clicked,0
122,5,Article Not Clicked,0
123,1,Article Not Clicked,0
123,2,Article Not Clicked,0
123,3,Article Not Clicked,0
123,4,Article Not Clicked,0
123,5,Article Not Clicked,0
124,1,Article Not Clicked,0
124,2,Article Not Clicked,0
124,3,Article Not Clicked,0
124,4,Article Not Clicked,0
124,5,Article Not Clicked,0
125,1,Article Not Clicked,0
125,2,Article Not Clicked,0
125,3,Article Not Clicked,0
125,4,Article Not Clicked,0
125,5,Article Not Clicked,0
126,1,Article Not Clicked,0
126,2,Article Not Clicked,0
126,3,Article Not Clicked,0
126,4,Article Not Clicked,0
126,5,Article Not Clicked,0
127,1,Article Not Clicked,0
127,2,Article Not Clicked,0
127,3,Article Not Clicked,0
127,4,Article Not Clicked,0
127,5,Article Not Clicked,0
128,1,Article Not Clicked,0
128,2,Article Not Clicked,0
128,3,Article Not Clicked,0
128,4,Article Not Clicked,0
128,5,Article Not Clicked,0
129,1,Article Not Clicked,0
129,2,Article Not Clicked,0
129,3,Article Not Clicked,0
129,4,Article Not Clicked,0
129,5,Article Not Clicked,0
130,1,Article Not Clicked,0
130,2,Article Not Clicked,0
130,3,Article Not Clicked,0
130,4,Article Not Clicked,0
130,5,Article Not Clicked,0
131,1,Article Not Clicked,0
131,2,Article Not Clicked,0
131,3,Article Not Clicked,0
131,4,Article Not Clicked,0
131,5,Article Not Clicked,0
132,1,Article Not Clicked,0
132,2,Article Not Clicked,0
132,3,Article Not Clicked,0
132,4,Article Not Clicked,0
132,5,Article Not Clicked,0
133,1,Article Not Clicked,0
133,2,Article Not Clicked,0
133,3,Article Not Clicked,0
133,4,Article Not Clicked,0
133,5,Article Not Clicked,0
134,1,Article Not Clicked,0
134,2,Article Not Clicked,0
134,3,Article Not Clicked,0
134,4,Article Not Clicked,0
134,5,Article Not Clicked,0
135,1,Article Not Clicked,0
135,2,Article Not Clicked,0
135,3,Article Not Clicked,0
135,4,Article Not Clicked,0
135,5,Article Not Clicked,0
136,1,Article Not Clicked,0
136,2,Article Not Clicked,0
136,3,Article Not Clicked,0
136,4,Article Not Clicked,0
136,5,Article Not Clicked,0
137,1,Article Not Clicked,0
137,2,Article Not Clicked,0
137,3,Article Not Clicked,0
137,4,Article Not Clicked,0
137,5,Article Not Clicked,0
138,1,Article Not Clicked,0
138,2,CDC orders sweeping U.S. transportation mask mandate as COVID ...,1
138,3,Article Not Clicked,0
138,4,Article Not Clicked,0
138,5,Article Not Clicked,0
139,1,Article Not Clicked,0
139,2,Article Not Clicked,0
139,3,Article Not Clicked,0
139,4,Article Not Clicked,0
139,5,Article Not Clicked,0
140,1,Article Not Clicked,0
140,2,Article Not Clicked,0
140,3,Article Not Clicked,0
140,4,Article Not Clicked,0
140,5,Article Not Clicked,0
141,1,Article Not Clicked,0
141,2,Article Not Clicked,0
141,3,Article Not Clicked,0
141,4,Article Not Clicked,0
141,5,Article Not Clicked,0
142,1,Article Not Clicked,0
142,2,Article Not Clicked,0
142,3,Article Not Clicked,0
142,4,Article Not Clicked,0
142,5,Article Not Clicked,0
143,1,Article Not Clicked,0
143,2,Article Not Clicked,0
143,3,Article Not Clicked,0
143,4,Article Not Clicked,0
143,5,Article Not Clicked,0
144,1,Article Not Clicked,0
144,2,Article Not Clicked,0
144,3,Article Not Clicked,0
144,4,Article Not Clicked,0
144,5,Article Not Clicked,0
145,1,Article Not Clicked,0
145,2,Article Not Clicked,0
145,3,Article Not Clicked,0
145,4,Article Not Clicked,0
145,5,Article Not Clicked,0
146,1,Article Not Clicked,0
146,2,Article Not Clicked,0
146,3,Article Not Clicked,0
146,4,Article Not Clicked,0
146,5,Article Not Clicked,0
147,1,Article Not Clicked,0
147,2,Article Not Clicked,0
147,3,Article Not Clicked,0
147,4,Article Not Clicked,0
147,5,Article Not Clicked,0
148,1,Article Not Clicked,0
148,2,Article Not Clicked,0
148,3,Article Not Clicked,0
148,4,Article Not Clicked,0
148,5,Article Not Clicked,0
149,1,Article Not Clicked,0
149,2,Article Not Clicked,0
149,3,Article Not Clicked,0
149,4,Article Not Clicked,0
149,5,Article Not Clicked,0
150,1,Article Not Clicked,0
150,2,Article Not Clicked,0
150,3,Article Not Clicked,0
150,4,Article Not Clicked,0
150,5,Article Not Clicked,0
151,1,Article Not Clicked,0
151,2,Article Not Clicked,0
151,3,Article Not Clicked,0
151,4,Article Not Clicked,0
151,5,Article Not Clicked,0
152,1,Article Not Clicked,0
152,2,Article Not Clicked,0
152,3,Article Not Clicked,0
152,4,Article Not Clicked,0
152,5,Article Not Clicked,0
153,1,Article Not Clicked,0
153,2,Article Not Clicked,0
153,3,Article Not Clicked,0
153,4,Article Not Clicked,0
153,5,Article Not Clicked,0
154,1,Article Not Clicked,0
154,2,Article Not Clicked,0
154,3,Article Not Clicked,0
154,4,Video surfaces showing QAnon-promoting congresswoman harassing Stoneman Douglas student after massacre,1
154,5,Article Not Clicked,0
155,1,Article Not Clicked,0
155,2,Article Not Clicked,0
155,3,Article Not Clicked,0
155,4,Article Not Clicked,0
155,5,Article Not Clicked,0
156,1,Article Not Clicked,0
156,2,Article Not Clicked,0
156,3,Article Not Clicked,0
156,4,Article Not Clicked,0
156,5,GameStop and AMC are dropping in overnight trading after explosive rally,1
157,1,Article Not Clicked,0
157,2,Article Not Clicked,0
157,3,Article Not Clicked,0
157,4,Article Not Clicked,0
157,5,Article Not Clicked,0
158,1,Article Not Clicked,0
158,2,Article Not Clicked,0
158,3,Article Not Clicked,0
158,4,Article Not Clicked,0
158,5,Article Not Clicked,0
159,1,Article Not Clicked,0
159,2,Article Not Clicked,0
159,3,Article Not Clicked,0
159,4,Article Not Clicked,0
159,5,Article Not Clicked,0
160,1,Article Not Clicked,0
160,2,Article Not Clicked,0
160,3,Article Not Clicked,0
160,4,Article Not Clicked,0
160,5,Article Not Clicked,0
161,1,Article Not Clicked,0
161,2,U.K.’s Johnson Warns Lockdown to Last Until at Least March 8,1
161,3,Article Not Clicked,0
161,4,Article Not Clicked,0
161,5,Article Not Clicked,0
162,1,Article Not Clicked,0
162,2,Article Not Clicked,0
162,3,Article Not Clicked,0
162,4,Article Not Clicked,0
162,5,Article Not Clicked,0
163,1,Article Not Clicked,0
163,2,Article Not Clicked,0
163,3,Article Not Clicked,0
163,4,Article Not Clicked,0
163,5,Article Not Clicked,0
164,1,Article Not Clicked,0
164,2,Article Not Clicked,0
164,3,Article Not Clicked,0
164,4,Article Not Clicked,0
164,5,Article Not Clicked,0
165,1,Article Not Clicked,0
165,2,Article Not Clicked,0
165,3,Article Not Clicked,0
165,4,Article Not Clicked,0
165,5,Article Not Clicked,0
166,1,Article Not Clicked,0
166,2,Article Not Clicked,0
166,3,Article Not Clicked,0
166,4,Article Not Clicked,0
166,5,Article Not Clicked,0
167,1,Article Not Clicked,0
167,2,Article Not Clicked,0
167,3,Article Not Clicked,0
167,4,Article Not Clicked,0
167,5,Article Not Clicked,0
168,1,Article Not Clicked,0
168,2,Article Not Clicked,0
168,3,Article Not Clicked,0
168,4,Article Not Clicked,0
168,5,Article Not Clicked,0
169,1,Article Not Clicked,0
169,2,Article Not Clicked,0
169,3,Article Not Clicked,0
169,4,Article Not Clicked,0
169,5,Article Not Clicked,0
170,1,Article Not Clicked,0
170,2,Article Not Clicked,0
170,3,Article Not Clicked,0
170,4,Article Not Clicked,0
170,5,Article Not Clicked,0
171,1,Article Not Clicked,0
171,2,Article Not Clicked,0
171,3,Article Not Clicked,0
171,4,Article Not Clicked,0
171,5,Article Not Clicked,0
172,1,Article Not Clicked,0
172,2,Article Not Clicked,0
172,3,Article Not Clicked,0
172,4,Article Not Clicked,0
172,5,Article Not Clicked,0
173,1,Article Not Clicked,0
173,2,Article Not Clicked,0
173,3,Article Not Clicked,0
173,4,Article Not Clicked,0
173,5,Article Not Clicked,0
174,1,Article Not Clicked,0
174,2,Article Not Clicked,0
174,3,Article Not Clicked,0
174,4,Article Not Clicked,0
174,5,Article Not Clicked,0
175,1,Article Not Clicked,0
175,2,Article Not Clicked,0
175,3,Diet Coke button' disappears from Oval Office's Resolute Desk ...,1
175,4,Article Not Clicked,0
175,5,Article Not Clicked,0
176,1,Article Not Clicked,0
176,2,Article Not Clicked,0
176,3,Article Not Clicked,0
176,4,Article Not Clicked,0
